"","Location_ID","2009_min","2009_max","2009_count","2010_min","2010_max","2010_count","2011_min","2011_max","2011_count","2012_min","2012_max","2012_count","2013_min","2013_max","2013_count"
"1","GM34921",0,Inf,-Inf,24.1999431979551,100,9,11.9643979939312,99.8271763617494,15,96.5013866125111,99.0362718241526,5,Inf,0,Inf
"2","KICCOMS8D_OUT",36.2397820163488,73.9863769056114,3,21.789753825682,97.4777448071217,8,30.1320132013201,97.1871178149205,9,76.8217054263566,99.6894409937888,5,97.8021978021978,100,6
"3","KICHDRS8D_OUT",16.3456790123457,91.304347826087,3,12.0054570259209,100,7,20.3785488958991,97.0840480274443,6,50.2057613168724,96.1439588688946,4,71.4285714285714,71.4285714285714,1
"4","KICLDRS8D_OUT",83.4355828220859,100,3,7.46738641475484,94.5454545454545,12,2.28764297768611,100,9,99.4736842105263,99.4736842105263,1,90.0990099009901,100,3
"5","LDR010",Inf,-Inf,-Inf,32.9999244541815,95.4973393368809,7,3.72202729044834,93.2998101936736,8,42.4407419694866,94.5037944252238,8,0,0,-Inf
"6","MH5171",-Inf,0,0,84.999847363159,100,6,7.87226175569513,99.7090034222205,15,26.7561375628844,99.2035714623277,6,Inf,-Inf,Inf
"7","PIECOMM_OUT",0,Inf,-Inf,53.599999985149,95.2999999975427,4,63.5000000194529,97.1999999744332,9,85.6000000189296,94.299999976989,5,66.400000000205,89.500000019363,3
"8","PIEHIRES_OUT",0,-Inf,0,76.3000000061955,76.3000000061955,1,73.4999999940642,97.9999999975847,5,89.8000000375864,89.8000000375864,1,81.7999999927036,81.7999999927036,1
"9","PIELORES_OUT",Inf,0,Inf,90.0999999970093,90.0999999970093,1,59.4999999995751,95.9999999910114,7,64.3000000364399,85.5000000442582,4,86.8000000205098,97.3999999749162,3
"10","POSOUTFALL_6057",77.7868900964872,99.965020007092,9,61.7210526699855,100,16,53.0194654040581,99.7469358263743,12,73.1020135120545,97.8421926550058,3,Inf,-Inf,Inf
"11","POT564S8D_OUT",90.9566517189836,99.6539792387543,3,73.9096972806567,98.3922829581993,7,25.9081196581197,100,11,15.5910079767948,56.8414322250639,8,-Inf,Inf,0
"12","SEAC1S8D_OUT",71.4999999923308,100,3,100,100,14,100,100,12,61.500000001052,100,5,0,-Inf,0
"13","SEAI1S8D_OUT",100,100,3,71.600025819621,100,13,100,100,12,100,100,5,Inf,0,Inf
"14","SEAR1S8D_OUT",100,100,5,100,100,13,100,100,10,100,100,7,-Inf,Inf,-Inf
"15","SNO_COM",95.0319412913785,99.8181530676787,5,16.6501486620416,99.690477147566,12,76.8199000121936,99.3849938499385,11,72.6445527722951,98.1256007689843,8,-Inf,Inf,-Inf
"16","SNO_HDR",83.0614061109463,99.290780141844,7,48.8145048814505,97.1471098982883,13,82.0585125132182,98.221670802316,10,70.8257986738999,98.0281690140845,8,0,-Inf,0
"17","SNO_LDR",24.2965424121482,93.9759036144578,5,35.5902777727032,91.6777662670811,13,29.5198110697898,97.7863293454241,15,32.7339797388246,95.9175109676662,6,Inf,0,-Inf
"18","TAC001S8D_OF235",95.5082742316785,100,5,33.6309523809524,100,16,79.4194976731454,100,12,32.2305761021986,98.0527290739271,8,0,-Inf,0
"19","TAC003S8D_OF245",46.9444444444444,100,4,56.1046511593332,89.7810218978102,10,61.3999439974566,100.003851221322,11,26.6279786572923,95.3073452370942,8,Inf,0,Inf
"20","TFWFD1",83.5366330132658,100,5,25.69299282014,100,11,30.2806916896928,93.8713130568384,11,55.6929873362942,89.0492434474628,8,-Inf,Inf,-Inf
